query,intent,target,parameter,modifier,conditions
Log irradiance readings on the inverter.,log,inverter,irradiance,overload,during_peak_hours
Monitor microgrid_controller — temperature seems sudden_drop.,monitor,microgrid_controller,temperature,sudden_drop,during_peak_hours
Inspect inverter — efficiency seems critical.,inspect,inverter,efficiency,critical,during_peak_hours
Optimize anomaly in inverter temperature.,optimize,inverter,temperature,high,at_night
Reset anomaly in battery_bank temperature.,reset,battery_bank,temperature,high,under_cloud_cover
Reset why the battery_bank temperature is none.,reset,battery_bank,temperature,none,none
Log issue detected in solar_panel efficiency.,log,solar_panel,efficiency,sudden_drop,at_night
Predict why the inverter state_of_charge is overload.,predict,inverter,state_of_charge,overload,none
Log anomaly in smart_meter state_of_charge.,log,smart_meter,state_of_charge,intermittent,post_storm
Inspect anomaly in microgrid_controller fault_code.,inspect,microgrid_controller,fault_code,intermittent,post_storm
Log why the inverter state_of_charge is sudden_drop.,log,inverter,state_of_charge,sudden_drop,during_peak_hours
Optimize pv_array — output_power seems critical.,optimize,pv_array,output_power,critical,none
Optimize issue detected in grid_tie_inverter temperature.,optimize,grid_tie_inverter,temperature,intermittent,at_night
Predict issue detected in grid_tie_inverter efficiency.,predict,grid_tie_inverter,efficiency,intermittent,none
Reset anomaly in charge_controller fault_code.,reset,charge_controller,fault_code,critical,post_storm
Diagnose the intermittent fault_code in the solar_panel.,diagnose,solar_panel,fault_code,intermittent,heatwave
Reset why the charge_controller efficiency is unstable.,reset,charge_controller,efficiency,unstable,none
Diagnose efficiency readings on the grid_tie_inverter.,diagnose,grid_tie_inverter,efficiency,high,at_night
Diagnose irradiance readings on the pv_array.,diagnose,pv_array,irradiance,low,post_storm
Inspect sensor discrepancy: smart_meter voltage.,inspect,smart_meter,voltage,high,post_storm
Reset voltage readings on the charge_controller.,reset,charge_controller,voltage,none,post_storm
Inspect issue detected in inverter irradiance.,inspect,inverter,irradiance,overload,none
Reset microgrid_controller — temperature seems critical.,reset,microgrid_controller,temperature,critical,during_peak_hours
Diagnose the microgrid_controller output_power.,diagnose,microgrid_controller,output_power,sudden_drop,post_storm
Check frequency readings on the microgrid_controller.,check,microgrid_controller,frequency,low,none
Inspect issue detected in battery_bank output_power.,inspect,battery_bank,output_power,high,heatwave
Check the grid_tie_inverter load_balance.,check,grid_tie_inverter,load_balance,critical,under_cloud_cover
Log microgrid_controller — temperature seems sudden_drop.,log,microgrid_controller,temperature,sudden_drop,none
Predict issue detected in solar_panel frequency.,predict,solar_panel,frequency,overload,none
Log the charge_controller frequency.,log,charge_controller,frequency,none,during_peak_hours
Check sensor discrepancy: solar_panel state_of_charge.,check,solar_panel,state_of_charge,none,none
Check anomaly in grid_tie_inverter frequency.,check,grid_tie_inverter,frequency,unstable,under_cloud_cover
Optimize the pv_array load_balance.,optimize,pv_array,load_balance,sudden_drop,at_night
Inspect load_balance readings on the microgrid_controller.,inspect,microgrid_controller,load_balance,overload,none
Monitor issue detected in microgrid_controller frequency.,monitor,microgrid_controller,frequency,overload,during_peak_hours
Diagnose issue detected in charge_controller irradiance.,diagnose,charge_controller,irradiance,intermittent,post_storm
Log the high state_of_charge in the solar_panel.,log,solar_panel,state_of_charge,high,at_night
Predict anomaly in microgrid_controller current.,predict,microgrid_controller,current,sudden_drop,post_storm
Check anomaly in smart_meter state_of_charge.,check,smart_meter,state_of_charge,critical,post_storm
Predict solar_panel — output_power seems intermittent.,predict,solar_panel,output_power,intermittent,during_peak_hours
Monitor why the microgrid_controller efficiency is sudden_drop.,monitor,microgrid_controller,efficiency,sudden_drop,under_cloud_cover
Log the pv_array current.,log,pv_array,current,sudden_drop,none
Monitor state_of_charge readings on the grid_tie_inverter.,monitor,grid_tie_inverter,state_of_charge,unstable,post_storm
Optimize why the inverter current is overload.,optimize,inverter,current,overload,at_night
Inspect the none fault_code in the pv_array.,inspect,pv_array,fault_code,none,during_peak_hours
Check anomaly in charge_controller current.,check,charge_controller,current,sudden_drop,post_storm
Predict microgrid_controller — output_power seems low.,predict,microgrid_controller,output_power,low,none
Log sensor discrepancy: battery_bank fault_code.,log,battery_bank,fault_code,sudden_drop,heatwave
Log sensor discrepancy: grid_tie_inverter load_balance.,log,grid_tie_inverter,load_balance,sudden_drop,heatwave
Reset issue detected in grid_tie_inverter output_power.,reset,grid_tie_inverter,output_power,sudden_drop,post_storm
Optimize the intermittent temperature in the charge_controller.,optimize,charge_controller,temperature,intermittent,under_cloud_cover
Reset the unstable frequency in the inverter.,reset,inverter,frequency,unstable,during_peak_hours
Log issue detected in inverter load_balance.,log,inverter,load_balance,high,none
Diagnose sensor discrepancy: charge_controller state_of_charge.,diagnose,charge_controller,state_of_charge,intermittent,under_cloud_cover
Log the smart_meter load_balance.,log,smart_meter,load_balance,sudden_drop,post_storm
Log irradiance readings on the solar_panel.,log,solar_panel,irradiance,critical,heatwave
Inspect voltage readings on the solar_panel.,inspect,solar_panel,voltage,sudden_drop,at_night
Check grid_tie_inverter — temperature seems overload.,check,grid_tie_inverter,temperature,overload,post_storm
Check sensor discrepancy: solar_panel state_of_charge.,check,solar_panel,state_of_charge,sudden_drop,heatwave
Log anomaly in solar_panel irradiance.,log,solar_panel,irradiance,sudden_drop,post_storm
Optimize sensor discrepancy: charge_controller voltage.,optimize,charge_controller,voltage,sudden_drop,under_cloud_cover
Diagnose the inverter fault_code.,diagnose,inverter,fault_code,intermittent,post_storm
Monitor anomaly in grid_tie_inverter state_of_charge.,monitor,grid_tie_inverter,state_of_charge,intermittent,none
Diagnose anomaly in grid_tie_inverter load_balance.,diagnose,grid_tie_inverter,load_balance,sudden_drop,none
Reset the overload load_balance in the inverter.,reset,inverter,load_balance,overload,at_night
Log the overload voltage in the inverter.,log,inverter,voltage,overload,at_night
Inspect the solar_panel frequency.,inspect,solar_panel,frequency,overload,heatwave
Reset the solar_panel fault_code.,reset,solar_panel,fault_code,critical,during_peak_hours
Reset efficiency readings on the solar_panel.,reset,solar_panel,efficiency,unstable,during_peak_hours
Reset the battery_bank output_power.,reset,battery_bank,output_power,sudden_drop,under_cloud_cover
Log current readings on the pv_array.,log,pv_array,current,low,at_night
Log issue detected in grid_tie_inverter current.,log,grid_tie_inverter,current,none,heatwave
Log why the inverter frequency is critical.,log,inverter,frequency,critical,at_night
Reset issue detected in grid_tie_inverter voltage.,reset,grid_tie_inverter,voltage,overload,at_night
Diagnose sensor discrepancy: battery_bank frequency.,diagnose,battery_bank,frequency,high,under_cloud_cover
Reset anomaly in microgrid_controller fault_code.,reset,microgrid_controller,fault_code,high,post_storm
Diagnose the unstable load_balance in the pv_array.,diagnose,pv_array,load_balance,unstable,during_peak_hours
Predict issue detected in pv_array voltage.,predict,pv_array,voltage,none,post_storm
Monitor issue detected in solar_panel efficiency.,monitor,solar_panel,efficiency,high,under_cloud_cover
Predict issue detected in solar_panel voltage.,predict,solar_panel,voltage,overload,under_cloud_cover
Monitor the critical current in the pv_array.,monitor,pv_array,current,critical,at_night
Monitor anomaly in grid_tie_inverter voltage.,monitor,grid_tie_inverter,voltage,sudden_drop,post_storm
Log sensor discrepancy: pv_array frequency.,log,pv_array,frequency,intermittent,under_cloud_cover
Reset charge_controller — state_of_charge seems sudden_drop.,reset,charge_controller,state_of_charge,sudden_drop,under_cloud_cover
Monitor the smart_meter temperature.,monitor,smart_meter,temperature,critical,heatwave
Check the sudden_drop state_of_charge in the microgrid_controller.,check,microgrid_controller,state_of_charge,sudden_drop,heatwave
Check temperature readings on the charge_controller.,check,charge_controller,temperature,low,under_cloud_cover
Monitor inverter — temperature seems sudden_drop.,monitor,inverter,temperature,sudden_drop,post_storm
